# e, |m|, m2, m4 [calculated 2025-01-16 12:55:05.507987]
-2.27, 0.82, 0.6723999999999999, 0.4521217599999999
-2.04, 0.79, 0.6241000000000001, 0.3895008100000001
-2.01, 0.785, 0.616225, 0.3797332506250001
-1.99, 0.76, 0.5776, 0.33362176
-2.35, 0.84, 0.7055999999999999, 0.49787135999999993
-2.24, 0.835, 0.697225, 0.4861227006249999
-2.27, 0.82, 0.6723999999999999, 0.4521217599999999
-2.19, 0.83, 0.6889, 0.4745832099999999
-2.22, 0.835, 0.697225, 0.4861227006249999
-2.35, 0.835, 0.697225, 0.4861227006249999
-2.2, 0.82, 0.6723999999999999, 0.4521217599999999
-2.3, 0.8, 0.6400000000000001, 0.4096000000000001
-2.32, 0.81, 0.6561000000000001, 0.4304672100000001
-2.29, 0.835, 0.697225, 0.4861227006249999
-2.4, 0.875, 0.765625, 0.586181640625
-2.35, 0.825, 0.6806249999999999, 0.4632503906249999
-2.56, 0.92, 0.8464, 0.7163929600000001
-2.66, 0.93, 0.8649000000000001, 0.7480520100000002
-2.17, 0.78, 0.6084, 0.3701505600000001
-2.37, 0.84, 0.7055999999999999, 0.49787135999999993
-2.52, 0.915, 0.8372250000000001, 0.7009457006250001
-2.21, 0.775, 0.6006250000000001, 0.36075039062500003
-2.32, 0.87, 0.7569, 0.57289761
-2.34, 0.875, 0.765625, 0.586181640625
-2.37, 0.88, 0.7744, 0.59969536
-2.15, 0.805, 0.6480250000000001, 0.4199364006250001
-2.29, 0.85, 0.7224999999999999, 0.5220062499999999
-2.17, 0.835, 0.697225, 0.4861227006249999
-2.36, 0.84, 0.7055999999999999, 0.49787135999999993
-2.67, 0.94, 0.8835999999999999, 0.7807489599999998
-2.3, 0.85, 0.7224999999999999, 0.5220062499999999
-2.42, 0.895, 0.801025, 0.6416410506250001
-2.49, 0.885, 0.7832250000000001, 0.6134414006250001
-2.32, 0.86, 0.7395999999999999, 0.54700816
-2.19, 0.795, 0.6320250000000001, 0.3994556006250001
-2.22, 0.8, 0.6400000000000001, 0.4096000000000001
-2.2, 0.785, 0.616225, 0.3797332506250001
-2.11, 0.655, 0.42902500000000005, 0.18406245062500004
-2.26, 0.86, 0.7395999999999999, 0.54700816
-2.42, 0.89, 0.7921, 0.62742241
-2.48, 0.9, 0.81, 0.6561
-2.45, 0.89, 0.7921, 0.62742241
-2.37, 0.86, 0.7395999999999999, 0.54700816
-2.39, 0.865, 0.748225, 0.559840650625
-2.46, 0.88, 0.7744, 0.59969536
-2.29, 0.85, 0.7224999999999999, 0.5220062499999999
-2.01, 0.74, 0.5476, 0.29986576
-2.13, 0.795, 0.6320250000000001, 0.3994556006250001
-2.35, 0.84, 0.7055999999999999, 0.49787135999999993
-2.6, 0.905, 0.819025, 0.670801950625
-1.99, 0.785, 0.616225, 0.3797332506250001
-2.08, 0.805, 0.6480250000000001, 0.4199364006250001
-1.99, 0.7, 0.48999999999999994, 0.24009999999999995
-1.96, 0.695, 0.4830249999999999, 0.23331315062499994
-1.99, 0.7, 0.48999999999999994, 0.24009999999999995
-2.04, 0.71, 0.5041, 0.25411680999999997
-2.06, 0.73, 0.5328999999999999, 0.28398240999999996
-2.25, 0.775, 0.6006250000000001, 0.36075039062500003
-2.43, 0.875, 0.765625, 0.586181640625
-2.39, 0.86, 0.7395999999999999, 0.54700816
-2.37, 0.845, 0.7140249999999999, 0.5098317006249999
-2.41, 0.87, 0.7569, 0.57289761
-2.07, 0.63, 0.39690000000000003, 0.15752961000000001
-2.14, 0.735, 0.540225, 0.291843050625
-2.42, 0.865, 0.748225, 0.559840650625
-2.31, 0.825, 0.6806249999999999, 0.4632503906249999
-2.0, 0.72, 0.5184, 0.26873855999999996
-1.97, 0.715, 0.5112249999999999, 0.26135100062499994
-1.83, 0.52, 0.27040000000000003, 0.07311616000000001
-2.3, 0.84, 0.7055999999999999, 0.49787135999999993
-2.34, 0.85, 0.7224999999999999, 0.5220062499999999
-2.06, 0.79, 0.6241000000000001, 0.3895008100000001
-2.39, 0.88, 0.7744, 0.59969536
-2.61, 0.93, 0.8649000000000001, 0.7480520100000002
-2.46, 0.84, 0.7055999999999999, 0.49787135999999993
-2.24, 0.83, 0.6889, 0.4745832099999999
-2.59, 0.915, 0.8372250000000001, 0.7009457006250001
-2.37, 0.84, 0.7055999999999999, 0.49787135999999993
-2.52, 0.91, 0.8281000000000001, 0.6857496100000001
-2.61, 0.93, 0.8649000000000001, 0.7480520100000002
-2.19, 0.8, 0.6400000000000001, 0.4096000000000001
-2.56, 0.915, 0.8372250000000001, 0.7009457006250001
-2.29, 0.81, 0.6561000000000001, 0.4304672100000001
-2.28, 0.76, 0.5776, 0.33362176
-2.1, 0.755, 0.570025, 0.324928500625
-2.41, 0.875, 0.765625, 0.586181640625
-2.38, 0.87, 0.7569, 0.57289761
-2.15, 0.835, 0.697225, 0.4861227006249999
-2.4, 0.84, 0.7055999999999999, 0.49787135999999993
-2.55, 0.915, 0.8372250000000001, 0.7009457006250001
-2.41, 0.875, 0.765625, 0.586181640625
-2.24, 0.815, 0.664225, 0.44119485062499986
-2.27, 0.82, 0.6723999999999999, 0.4521217599999999
-2.4, 0.875, 0.765625, 0.586181640625
-2.45, 0.885, 0.7832250000000001, 0.6134414006250001
-2.38, 0.865, 0.748225, 0.559840650625
-2.37, 0.815, 0.664225, 0.44119485062499986
-2.27, 0.795, 0.6320250000000001, 0.3994556006250001
-2.25, 0.79, 0.6241000000000001, 0.3895008100000001
-2.31, 0.805, 0.6480250000000001, 0.4199364006250001
-2.35, 0.855, 0.7310249999999999, 0.5343975506249999
-2.33, 0.815, 0.664225, 0.44119485062499986
-2.2, 0.565, 0.3192249999999999, 0.10190460062499997
-2.21, 0.74, 0.5476, 0.29986576
-2.29, 0.85, 0.7224999999999999, 0.5220062499999999
-2.27, 0.855, 0.7310249999999999, 0.5343975506249999
-2.3, 0.825, 0.6806249999999999, 0.4632503906249999
-2.32, 0.83, 0.6889, 0.4745832099999999
-2.6, 0.92, 0.8464, 0.7163929600000001
-2.24, 0.845, 0.7140249999999999, 0.5098317006249999
-2.44, 0.875, 0.765625, 0.586181640625
-2.44, 0.88, 0.7744, 0.59969536
-2.7, 0.945, 0.893025, 0.7974936506249999
-2.14, 0.76, 0.5776, 0.33362176
-2.06, 0.785, 0.616225, 0.3797332506250001
-2.25, 0.845, 0.7140249999999999, 0.5098317006249999
-1.78, 0.175, 0.030624999999999996, 0.0009378906249999998
-1.88, 0.69, 0.4760999999999999, 0.22667120999999993
-2.22, 0.71, 0.5041, 0.25411680999999997
-2.43, 0.87, 0.7569, 0.57289761
-2.44, 0.875, 0.765625, 0.586181640625
-2.43, 0.865, 0.748225, 0.559840650625
-2.37, 0.87, 0.7569, 0.57289761
-2.47, 0.89, 0.7921, 0.62742241
-2.42, 0.89, 0.7921, 0.62742241
-2.27, 0.815, 0.664225, 0.44119485062499986
-2.26, 0.85, 0.7224999999999999, 0.5220062499999999
-2.12, 0.81, 0.6561000000000001, 0.4304672100000001
-2.09, 0.805, 0.6480250000000001, 0.4199364006250001
-2.44, 0.87, 0.7569, 0.57289761
-2.34, 0.83, 0.6889, 0.4745832099999999
-2.26, 0.805, 0.6480250000000001, 0.4199364006250001
-2.13, 0.77, 0.5929, 0.35153041
-2.59, 0.91, 0.8281000000000001, 0.6857496100000001
-2.08, 0.74, 0.5476, 0.29986576
-2.04, 0.72, 0.5184, 0.26873855999999996
-2.14, 0.775, 0.6006250000000001, 0.36075039062500003
-2.47, 0.905, 0.819025, 0.670801950625
-2.42, 0.875, 0.765625, 0.586181640625
-2.38, 0.86, 0.7395999999999999, 0.54700816
-2.35, 0.85, 0.7224999999999999, 0.5220062499999999
-2.4, 0.88, 0.7744, 0.59969536
-2.32, 0.81, 0.6561000000000001, 0.4304672100000001
-2.46, 0.88, 0.7744, 0.59969536
-2.55, 0.91, 0.8281000000000001, 0.6857496100000001
-2.46, 0.895, 0.801025, 0.6416410506250001
-2.61, 0.93, 0.8649000000000001, 0.7480520100000002
-2.58, 0.905, 0.819025, 0.670801950625
-2.53, 0.905, 0.819025, 0.670801950625
-2.25, 0.765, 0.585225, 0.342488300625
-2.42, 0.88, 0.7744, 0.59969536
-2.34, 0.805, 0.6480250000000001, 0.4199364006250001
-2.39, 0.875, 0.765625, 0.586181640625
-2.26, 0.805, 0.6480250000000001, 0.4199364006250001
-2.29, 0.825, 0.6806249999999999, 0.4632503906249999
-2.26, 0.815, 0.664225, 0.44119485062499986
-2.32, 0.845, 0.7140249999999999, 0.5098317006249999
-1.99, 0.74, 0.5476, 0.29986576
-1.97, 0.735, 0.540225, 0.291843050625
-2.35, 0.88, 0.7744, 0.59969536
-2.25, 0.815, 0.664225, 0.44119485062499986
-2.13, 0.8, 0.6400000000000001, 0.4096000000000001
-2.13, 0.79, 0.6241000000000001, 0.3895008100000001
-2.15, 0.775, 0.6006250000000001, 0.36075039062500003
-2.25, 0.58, 0.3364, 0.11316495999999997
