# Energy, Magnetization, Magnetization2, Magnetization4
-1.8624, -0.4272, 0.18249984000000002, 0.033306191600025604
-2.1904, -0.8088, 0.65415744, 0.4279219563073535
-2.1264, -0.6584, 0.43349055999999997, 0.18791406560911358
-2.1664, 0.6752, 0.45589504000000003, 0.20784028749660163
-2.0992, 0.6808, 0.46348863999999995, 0.21482171940904954
-1.8544, -0.1864, 0.034744960000000005, 0.0012072122454016003
-1.8704, -0.3696, 0.13660415999999997, 0.018660696529305597
-2.0, -0.7032, 0.4944902400000001, 0.24452059745525767
-2.0048, 0.6952, 0.4833030400000001, 0.23358182847324166
-2.16, 0.7352, 0.54051904, 0.29216083260252157
-2.0336, 0.712, 0.506944, 0.25699221913599996
-1.9536, -0.6744, 0.45481536, 0.2068570116919296
-2.0624, 0.6912, 0.47775744000000003, 0.22825217147535365
-2.0864, 0.728, 0.529984, 0.28088304025599997
-2.1536, 0.7256, 0.5264953600000001, 0.2771973641015296
-2.0144, -0.712, 0.506944, 0.25699221913599996
-2.2528, -0.8128, 0.66064384, 0.4364502833299455
-2.0528, -0.6616, 0.43771456, 0.19159403603599356
-2.0416, -0.6176, 0.38142976000000006, 0.14548866181365763
-2.0464, 0.7248, 0.52533504, 0.2759769042518016
-2.0768, -0.7648, 0.5849190400000001, 0.34213028335452167
-1.896, 0.624, 0.389376, 0.151613669376
-2.1792, -0.7928, 0.62853184, 0.3950522738937855
-2.2144, 0.7536, 0.56791296, 0.3225251301359617
-2.0832, -0.668, 0.44622400000000007, 0.19911585817600005
-1.9568, -0.6648, 0.4419590399999999, 0.19532779303772155
-2.1088, -0.632, 0.399424, 0.159539531776
-2.0528, 0.6528, 0.42614784000000006, 0.18160198153666565
-2.08, 0.5896, 0.34762816, 0.12084533762498562
-1.9376, 0.6296, 0.39639616000000005, 0.15712991566274565
-2.1152, -0.7576, 0.5739577600000001, 0.3294275102642177
-2.0208, 0.6664, 0.44408896, 0.1972150043938816
-1.9728, -0.6024, 0.36288576000000006, 0.13168607481077765
-2.0064, -0.7056, 0.49787136, 0.24787589110824962
-2.0624, -0.6992, 0.4888806400000001, 0.23900428016680966
-1.928, -0.0848, 0.00719104, 5.17110562816e-5
-2.1296, 0.712, 0.506944, 0.25699221913599996
-2.0064, -0.6248, 0.39037504, 0.15239267185500163
-1.9968, 0.6104, 0.37258816000000006, 0.13882193697218564
-2.144, -0.6744, 0.45481536, 0.2068570116919296
-2.0816, 0.7312, 0.5346534399999999, 0.2858543009038335
-2.072, -0.6984, 0.48776256, 0.23791231493775364
-2.2528, 0.78, 0.6084, 0.3701505600000001
-2.1328, 0.7136, 0.5092249600000001, 0.2593100598870016
-2.0496, -0.7224, 0.5218617600000001, 0.27233969655029766
-2.048, -0.7128, 0.50808384, 0.2581491884691456
-1.8384, -0.5688, 0.32353343999999995, 0.10467388679823358
-2.2016, 0.7848, 0.6159110400000001, 0.3793464091938817
